date,fills,markets,contracts,settled_contracts,volume_usd,cum_volume_usd,fees_usd,cum_fees_usd,gross_pnl_usd,net_pnl_usd,cum_net_pnl_usd
2026-07-15,10,8,19.0,15.0,9.55,9.55,0.0000,0.0000,-1.71,-1.71,-1.71
2026-07-16,6,4,11.2,11.2,3.77,13.32,0.0000,0.0000,-0.61,-0.61,-2.32
2026-07-17,15,13,27.0,19.0,17.54,30.86,0.0000,0.0000,-0.99,-0.99,-3.31
2026-07-18,6,2,12.0,4.0,5.92,36.78,0.0000,0.0000,-0.02,-0.02,-3.33
2026-07-19,12,6,57.0,25.0,27.96,64.74,0.0000,0.0000,-2.35,-2.35,-5.68
2026-07-20,4,2,20.0,15.0,9.20,73.94,0.0000,0.0000,1.90,1.90,-3.78
2026-07-21,6,2,30.0,10.0,14.90,88.84,0.0000,0.0000,0.15,0.15,-3.63
2026-07-22,10,3,47.0,25.0,23.92,112.76,0.0000,0.0000,-2.20,-2.20,-5.83
2026-07-23,9,2,41.0,5.0,23.73,136.49,0.0000,0.0000,0.40,0.40,-5.43
2026-07-24,2,1,10.0,0.0,5.10,141.59,0.0000,0.0000,0.00,0.00,-5.43
2026-07-25,1,1,1.0,0.0,0.74,142.33,0.0000,0.0000,0.00,0.00,-5.43
2026-07-26,9,3,19.6,9.4,9.79,152.12,0.0379,0.0379,-0.70,-0.74,-6.17
2026-07-27,21,7,39.0,13.3,20.64,172.76,0.0522,0.0901,-0.50,-0.55,-6.72
2026-07-28,23,3,39.7,2.0,19.00,191.76,0.0000,0.0901,0.60,0.60,-6.12
2026-07-29,11,3,18.1,0.0,10.25,202.01,0.0317,0.1218,0.00,-0.03,-6.15
2026-07-30,4,3,6.0,0.0,3.34,205.35,0.0000,0.1218,0.00,0.00,-6.15
2026-08-01,2,2,4.0,0.0,1.42,206.77,0.0000,0.1218,0.00,0.00,-6.15
2026-08-02,1,1,2.0,0.0,1.12,207.89,0.0000,0.1218,0.00,0.00,-6.15
2026-08-03,2,1,4.0,0.0,2.04,209.93,0.0000,0.1218,0.00,0.00,-6.15
2026-08-04,2,1,4.0,0.0,2.32,212.25,0.0000,0.1218,0.00,0.00,-6.15
2026-08-06,2326,73,2246.6,2246.6,1120.71,1332.96,0.0155,0.1373,-7.58,-7.60,-13.75
2026-08-07,3757,335,3621.8,3621.8,1986.54,3319.50,0.0012,0.1385,3.18,3.18,-10.57
2026-08-08,6588,239,6339.7,6339.7,3308.75,6628.25,0.0027,0.1412,17.59,17.58,7.01
2026-08-09,4494,191,4344.9,4344.9,2312.11,8940.36,0.0006,0.1418,10.58,10.58,17.59
2026-08-10,3333,448,3168.7,3168.7,1900.10,10840.46,0.0069,0.1487,-8.87,-8.88,8.71
2026-08-11,2820,372,2680.8,2680.8,1588.66,12429.12,0.0008,0.1495,-21.52,-21.52,-12.81
2026-08-12,1325,222,1226.8,1226.8,726.28,13155.40,0.0003,0.1498,-32.24,-32.24,-45.05
2026-08-13,177,49,162.9,162.9,98.53,13253.93,0.0000,0.1498,-17.19,-17.19,-62.24
